
> coreone-backend@1.1.0 dev
> tsx watch src/app.ts

Database initialized successfully
(node:27316) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
COREONE Backend Server running on port 3001
API Base URL: http://localhost:3001/api/v1
[2026-05-20T03:46:27.222Z] GET /api/v1/users
[2026-05-20T03:46:27.225Z] GET /api/v1/users
[2026-05-20T03:46:27.227Z] GET /api/v1/roles
[2026-05-20T03:46:27.229Z] GET /api/v1/roles
[2026-05-20T03:46:29.853Z] POST /api/v1/auth/login
[2026-05-20T03:46:30.164Z] GET /api/v1/users
[2026-05-20T03:46:30.796Z] POST /api/v1/auth/login
[2026-05-20T03:46:31.412Z] GET /api/v1/users
[2026-05-20T03:46:31.417Z] GET /api/v1/users
[2026-05-20T03:46:31.418Z] GET /api/v1/roles
[2026-05-20T03:46:31.421Z] GET /api/v1/roles
[2026-05-20T03:46:33.055Z] POST /api/v1/auth/login
[2026-05-20T03:46:33.362Z] GET /api/v1/users
[2026-05-20T03:46:33.929Z] POST /api/v1/auth/login
[2026-05-20T03:46:34.657Z] GET /api/v1/users
[2026-05-20T03:46:34.661Z] GET /api/v1/users
[2026-05-20T03:46:34.664Z] GET /api/v1/roles
[2026-05-20T03:46:34.666Z] GET /api/v1/roles
[2026-05-20T03:46:36.661Z] GET /api/v1/users
[2026-05-20T03:46:36.700Z] PUT /api/v1/users/157aaa75-0329-4b14-9e56-fef049b0965d
[2026-05-20T03:46:36.716Z] GET /api/v1/users
[2026-05-20T03:46:37.876Z] POST /api/v1/auth/login
[2026-05-20T03:46:38.229Z] GET /api/v1/users
[2026-05-20T03:46:38.362Z] POST /api/v1/auth/login
[2026-05-20T03:46:38.681Z] POST /api/v1/users
[2026-05-20T03:46:39.469Z] POST /api/v1/auth/login
[2026-05-20T03:46:40.097Z] GET /api/v1/users
[2026-05-20T03:46:40.100Z] GET /api/v1/users
[2026-05-20T03:46:40.101Z] GET /api/v1/roles
[2026-05-20T03:46:40.103Z] GET /api/v1/roles
[2026-05-20T03:46:41.738Z] POST /api/v1/auth/login
[2026-05-20T03:46:42.063Z] GET /api/v1/users
[2026-05-20T03:46:42.065Z] DELETE /api/v1/users/15f456fd-6e08-4554-8d62-f48962c92cd1
[2026-05-20T03:46:42.837Z] POST /api/v1/auth/login
[2026-05-20T03:46:43.461Z] GET /api/v1/users
[2026-05-20T03:46:43.465Z] GET /api/v1/users
[2026-05-20T03:46:43.467Z] GET /api/v1/roles
[2026-05-20T03:46:43.470Z] GET /api/v1/roles
[2026-05-20T03:46:45.511Z] PUT /api/v1/users/157aaa75-0329-4b14-9e56-fef049b0965d
[2026-05-20T03:46:45.525Z] GET /api/v1/users
[2026-05-20T03:46:46.176Z] POST /api/v1/auth/login
[2026-05-20T03:46:46.511Z] GET /api/v1/users
[2026-05-20T03:46:46.650Z] POST /api/v1/auth/login
[2026-05-20T03:46:47.008Z] PUT /api/v1/users/non-existent-id
[2026-05-20T03:46:47.183Z] POST /api/v1/auth/login
[2026-05-20T03:46:47.506Z] GET /api/v1/users
[2026-05-20T03:46:47.508Z] POST /api/v1/auth/login
[2026-05-20T03:46:47.825Z] PUT /api/v1/users/test-id
[2026-05-20T03:46:47.838Z] POST /api/v1/auth/login
[2026-05-20T03:46:48.207Z] GET /api/v1/users
[2026-05-20T03:46:48.210Z] POST /api/v1/auth/login
[2026-05-20T03:46:48.740Z] PUT /api/v1/users/test-id
[2026-05-20T03:46:48.760Z] POST /api/v1/auth/login
[2026-05-20T03:46:49.142Z] GET /api/v1/users
[2026-05-20T03:46:49.144Z] POST /api/v1/auth/login
[2026-05-20T03:46:49.491Z] PUT /api/v1/users/test-id
[2026-05-20T03:46:49.502Z] POST /api/v1/auth/login
[2026-05-20T03:46:49.828Z] GET /api/v1/users
[2026-05-20T03:46:49.830Z] POST /api/v1/auth/login
[2026-05-20T03:46:50.226Z] PUT /api/v1/users/test-id
[2026-05-20T03:46:50.242Z] POST /api/v1/auth/login
[2026-05-20T03:46:50.568Z] GET /api/v1/users
