Database initialized successfully
(node:20256) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
COREONE Backend Server running on port 3001
API Base URL: http://localhost:3001/api/v1
[2026-05-15T09:57:11.008Z] GET /api/v1/roles
[2026-05-15T09:57:11.011Z] GET /api/v1/roles
[2026-05-15T09:57:12.931Z] POST /api/v1/auth/login
[2026-05-15T09:57:13.223Z] GET /api/v1/users
[2026-05-15T09:57:13.861Z] POST /api/v1/auth/login
[2026-05-15T09:57:14.455Z] GET /api/v1/users
[2026-05-15T09:57:14.457Z] GET /api/v1/users
[2026-05-15T09:57:14.459Z] GET /api/v1/roles
[2026-05-15T09:57:14.462Z] GET /api/v1/roles
[2026-05-15T09:57:22.824Z] POST /api/v1/auth/login
[2026-05-15T09:57:23.113Z] GET /api/v1/users
[2026-05-15T09:57:24.780Z] POST /api/v1/auth/login
[2026-05-15T09:57:25.403Z] GET /api/v1/users
[2026-05-15T09:57:25.406Z] GET /api/v1/users
[2026-05-15T09:57:25.408Z] GET /api/v1/roles
[2026-05-15T09:57:25.411Z] GET /api/v1/roles
[2026-05-15T09:57:27.077Z] POST /api/v1/auth/login
[2026-05-15T09:57:27.326Z] GET /api/v1/users
[2026-05-15T09:57:27.463Z] POST /api/v1/auth/login
[2026-05-15T09:57:27.792Z] GET /api/v1/users
[2026-05-15T09:57:27.963Z] POST /api/v1/auth/login
[2026-05-15T09:57:28.382Z] GET /api/v1/users
[2026-05-15T09:57:29.178Z] POST /api/v1/auth/login
[2026-05-15T09:57:29.795Z] GET /api/v1/users
[2026-05-15T09:57:29.798Z] GET /api/v1/users
[2026-05-15T09:57:29.799Z] GET /api/v1/roles
[2026-05-15T09:57:29.801Z] GET /api/v1/roles
[2026-05-15T09:57:31.387Z] POST /api/v1/auth/login
[2026-05-15T09:57:31.633Z] GET /api/v1/users
[2026-05-15T09:57:32.157Z] POST /api/v1/auth/login
[2026-05-15T09:57:32.694Z] GET /api/v1/users
[2026-05-15T09:57:32.697Z] GET /api/v1/users
[2026-05-15T09:57:32.699Z] GET /api/v1/roles
[2026-05-15T09:57:32.701Z] GET /api/v1/roles
[2026-05-15T09:58:22.124Z] POST /api/v1/auth/login
[2026-05-15T09:58:22.385Z] GET /api/v1/users
[2026-05-15T09:58:23.646Z] POST /api/v1/auth/login
[2026-05-15T09:58:23.999Z] GET /api/v1/inventory/stats
[2026-05-15T09:58:24.003Z] GET /api/v1/inventory/stats
[2026-05-15T09:58:24.006Z] GET /api/v1/inbound
[2026-05-15T09:58:24.010Z] GET /api/v1/outbound
[2026-05-15T09:58:24.199Z] GET /api/v1/users
[2026-05-15T09:58:24.200Z] GET /api/v1/roles
[2026-05-15T09:58:24.201Z] GET /api/v1/users
[2026-05-15T09:58:24.203Z] GET /api/v1/roles
[2026-05-16T01:20:28.819Z] POST /api/v1/auth/login
[2026-05-16T01:20:29.134Z] GET /api/v1/inbound
[2026-05-16T01:20:31.065Z] POST /api/v1/auth/login
[2026-05-16T01:20:31.391Z] GET /api/v1/inventory/stats
[2026-05-16T01:20:31.393Z] GET /api/v1/inventory/stats
[2026-05-16T01:20:31.399Z] GET /api/v1/inbound
[2026-05-16T01:20:31.402Z] GET /api/v1/outbound
[2026-05-16T01:20:31.404Z] GET /api/v1/outbound
[2026-05-16T01:20:31.627Z] GET /api/v1/inbound
[2026-05-16T01:20:31.632Z] GET /api/v1/purchase-orders
[2026-05-16T01:20:31.635Z] GET /api/v1/inbound
[2026-05-16T01:20:31.637Z] GET /api/v1/purchase-orders
[2026-05-16T01:20:32.029Z] POST /api/v1/auth/login
[2026-05-16T01:20:32.289Z] GET /api/v1/inbound
[2026-05-16T01:20:33.201Z] POST /api/v1/auth/login
[2026-05-16T01:20:33.686Z] GET /api/v1/inbound
[2026-05-16T01:20:33.691Z] GET /api/v1/inbound
[2026-05-16T01:20:33.692Z] GET /api/v1/purchase-orders
[2026-05-16T01:20:33.694Z] GET /api/v1/purchase-orders
[2026-05-16T01:20:33.857Z] POST /api/v1/auth/login
[2026-05-16T01:20:34.115Z] GET /api/v1/inbound
[2026-05-16T01:20:34.730Z] POST /api/v1/auth/login
[2026-05-16T01:20:35.219Z] GET /api/v1/inbound
[2026-05-16T01:20:35.221Z] GET /api/v1/purchase-orders
[2026-05-16T01:20:35.223Z] GET /api/v1/inbound
[2026-05-16T01:20:35.224Z] GET /api/v1/purchase-orders
[2026-05-16T01:20:35.377Z] POST /api/v1/auth/login
[2026-05-16T01:20:35.640Z] GET /api/v1/inbound
[2026-05-16T01:20:36.345Z] POST /api/v1/auth/login
[2026-05-16T01:20:36.963Z] GET /api/v1/inbound
[2026-05-16T01:20:36.966Z] GET /api/v1/inbound
[2026-05-16T01:20:36.967Z] GET /api/v1/purchase-orders
[2026-05-16T01:20:36.969Z] GET /api/v1/purchase-orders
[2026-05-16T01:20:39.461Z] POST /api/v1/auth/login
[2026-05-16T01:20:39.821Z] GET /api/v1/inbound
[2026-05-16T01:20:41.569Z] POST /api/v1/auth/login
[2026-05-16T01:20:42.006Z] POST /api/v1/auth/login
[2026-05-16T01:20:42.478Z] GET /api/v1/inventory/stats
[2026-05-16T01:20:42.491Z] GET /api/v1/inbound
[2026-05-16T01:20:42.493Z] GET /api/v1/inbound
[2026-05-16T01:20:42.494Z] GET /api/v1/outbound
[2026-05-16T01:20:42.523Z] GET /api/v1/inventory/stats
[2026-05-16T01:20:42.527Z] GET /api/v1/inbound
[2026-05-16T01:20:42.531Z] GET /api/v1/outbound
[2026-05-16T01:20:42.823Z] POST /api/v1/auth/login
[2026-05-16T01:20:43.113Z] GET /api/v1/inbound
[2026-05-16T01:20:43.765Z] POST /api/v1/auth/login
[2026-05-16T01:20:44.056Z] POST /api/v1/auth/login
[2026-05-16T01:20:44.331Z] GET /api/v1/inventory/stats
[2026-05-16T01:20:44.333Z] GET /api/v1/inbound
[2026-05-16T01:20:44.333Z] GET /api/v1/inbound
[2026-05-16T01:20:44.334Z] GET /api/v1/outbound
[2026-05-16T01:20:44.335Z] GET /api/v1/inventory/stats
[2026-05-16T01:20:44.336Z] GET /api/v1/inbound
